Africa
Africa (Am Cit)
Alabama
Alaska
Alsace Lorraine
Anguilla
Argentina
Argentine Republic South America
Arizona
Arkansas
Armenia
Asia Minor
Atlantic Ocean
At Sea
At Sea (Am Cit)
Australia
Austria
Austria Hungary
Austria Poland
Austria Vienna
Bahama Islands
Barbados West Indies
Bavaria
Belgium
Berlin
Bermuda
Bermuda (Am Cit)
Bermuda Islands
Bermuda West Indies
Blank
Bohemia
Bohemia Czech
Brazil
British West Indies
Budapest
"Budapest, Hungary"
Bulgaria
"Calcutta, India"
California
Canada
Canada (Am Cit)
Canada Dutch
Canada English
Canada English (Am Cit)
Canada English And French
Canada English Nova Scotia
Canada English Ontario
Canada French
Canada French (Am Cit)
Canada German
Canada Irish
Canada New Brunswick
Canada Nova Scotia
Canada Other
Canada Scotch
Canada Scotch Irish
Cape Colony
Carolina
Chile
China
China (Am Cit)
Colorado
Connecticut
Constantinople
Costa Rica
Cuba
Cuba (Am Cit)
Czechoslovakia
Czech Prague
Dakota
Delaware
Denmark
District of Columbia
Don't Know
Dutch East Indies
Dutch West Indies
Eng English
England
England (Am Cit)
England London
English
Estonia Rus
Europe
Finland
Finland (Am Cit)
Florida
France
France Alsace Lorraine
France (Am Cit)
France Paris
Galicia
Georgia
Ger German
Germany
Germany (Am Cit)
Germany   Baden
Germany Berlin
Germany Cologne
Germany Hessia
Germany Poland
Germany Wurtenberg
Greece
Greece (Am Cit)
Hawaii
Holland
Holland (Russ)
Hungary
Hungary    Kiraly
Hun Magyar
Hun Slovak
Iceland
Idaho
Iddesleigh England
Illegible
Illinois
India
India (Am Cit)
Indiana
Iowa
Ire English
Ire Irish
Ireland
Ireland   Belfast
Ireland Dublin
Ireland English
Ireland Free State
Ireland Irish
Ireland   Kerry County
Ireland Longford
Ireland North
Ireland Northern
Ireland (South)
Ireland Tipperary
Ireland   Unknown
Irish Free State
Isle Of Man
Ita Italian
Italy
Italy (Am Cit)
Jamaica
Japan
Japan (Am Cit)
Kansas
Kentucky
Labrador
Labrador Newfoundland
Left Blank
Lithuania
Lithuania Russia
London
Long Island
Louisiana
Luxembourg
Maine
Malta Island
Maryland
Massachusetts
Mexico
Mexico (Am Cit)
Michigan
Minnesota
Mississippi
Missouri
Montana
Nebraska
Netherlands
Nevada
New England
Newfoundland
New Hampshire
New Jersey
New Mexico
New York
New Zealand
North Carolina
North Dakota
Northern Ireland
North Ireland
Norway
Not Known
Nova Scotia
Nova Scotia Canada
Nova Scotia Canada English
Ohio
Oklahoma
Ontario Canada
Ontario Canada English
Orange Free State
Oregon
Panama
Paraguay
Pennsylvania
Peru
Philippine Islands
Philippines
Philippines (Am Cit)
Poland
Poland Austria
Poland Austrian
Poland German
Poland Russia
Poland Russian
Portugal
Prague
Prince Edward Island Canada
Prussia
Prussia Germany
Puerto Rico
Quebec Canada
Rep Of Lithuania
Rhode Island
Romania
Romania    Szilagyi County
Russia
Russia (Am Cit)
Russia Kiev
Russian Poland
Russia Poland
Russia Ukraine
Russ Polish
Russ Yiddish
Scot English
Scotland
Scotland (Am Cit)
Scot Scotch
Serbia
Siam
Slavonia
Slovakia
Slovakland
South Africa
South America
South Australia
South Carolina
South Dakota
South Ireland
South Wales
Spain
Sweden
Swed Swedish
Swit German
Switzerland
Syria
Syria (Am Cit)
Syria Sado
Taken From Almshouse
Tennessee
Texas
Tlaxcala
Transvaal
Trinidad
Turk As Syrian
Turkey
"Turkey, Asia"
"Turkey, Europe"
Ukraine
United States
Unknown
Utah
Vermont
Virginia
Wales
Wales Eng
Wales Welsh
Washington
West Indies
West Virginia
Wisconsin
Wyoming
Yugoslavia
